rid,object,voice,unit,unit_name,object_agree_n,voice_agree_n,unit_agree_n,coding_source,note
6270,,,none,,,,1,corpus_v1_addendum,no church unit sets the reported market prices
192949,,,diocese,Zadarska nadbiskupija,,,1,corpus_v1_addendum,the archdiocese controls the cathedral treasury and rule
293764,,,none,,,,1,corpus_v1_addendum,lay religious commentary
294825,,,none,,,,1,corpus_v1_addendum,lay religious commentary
294826,,,none,,,,1,corpus_v1_addendum,lay religious commentary
379558,,,none,,,,1,corpus_v1_addendum,lay commentary about theology
455950,,,none,,,,1,corpus_v1_addendum,fair participants report prices without a church actor
455951,,,none,,,,1,corpus_v1_addendum,fair participants report prices without a church actor
554841,,,none,,,,1,corpus_v1_addendum,lay religious commentary
675354,,,none,,,,1,corpus_v1_addendum,lay devotional commentary
