"domain","stream","label","available","taken"
"macro_aggregates","filtered_religious","",22,3
"macro_aggregates","filtered_religious","confessional",172,24
"macro_aggregates","filtered_religious","neoznačeno",3992,564
"macro_aggregates","filtered_religious","other",9,1
"macro_aggregates","filtered_religious","secular",936,132
"macro_aggregates","original_dta","confessional",325,46
"macro_aggregates","original_dta","neoznačeno",1414,199
"macro_aggregates","original_dta","secular",220,31
"euro_changeover","filtered_religious","confessional",NA,5
"euro_changeover","filtered_religious","neoznačeno",NA,81
"euro_changeover","filtered_religious","secular",NA,33
"euro_changeover","original_dta","confessional",NA,40
"euro_changeover","original_dta","neoznačeno",NA,183
"euro_changeover","original_dta","secular",NA,65
"taxes_fiscal","filtered_religious","",50,2
"taxes_fiscal","filtered_religious","confessional",1630,70
"taxes_fiscal","filtered_religious","neoznačeno",9354,400
"taxes_fiscal","filtered_religious","other",12,1
"taxes_fiscal","filtered_religious","secular",1828,78
"taxes_fiscal","original_dta","",213,9
"taxes_fiscal","original_dta","confessional",2622,112
"taxes_fiscal","original_dta","neoznačeno",6593,282
"taxes_fiscal","original_dta","secular",1073,46
"business_comp","filtered_religious","",54,2
"business_comp","filtered_religious","confessional",1174,37
"business_comp","filtered_religious","neoznačeno",14812,471
"business_comp","filtered_religious","other",10,0
"business_comp","filtered_religious","secular",3222,103
"business_comp","original_dta","",5,0
"business_comp","original_dta","confessional",1781,57
"business_comp","original_dta","neoznačeno",8857,282
"business_comp","original_dta","secular",1501,48
"green_energy","filtered_religious","",7,2
"green_energy","filtered_religious","confessional",98,29
"green_energy","filtered_religious","neoznačeno",1643,480
"green_energy","filtered_religious","other",1,0
"green_energy","filtered_religious","secular",463,135
"green_energy","original_dta","confessional",235,69
"green_energy","original_dta","neoznačeno",761,222
"green_energy","original_dta","secular",217,63
"housing","filtered_religious","",28,5
"housing","filtered_religious","confessional",202,33
"housing","filtered_religious","neoznačeno",2117,347
"housing","filtered_religious","other",5,1
"housing","filtered_religious","secular",605,99
"housing","original_dta","confessional",424,69
"housing","original_dta","neoznačeno",2070,339
"housing","original_dta","secular",655,107
"demography_econ","filtered_religious","",2,2
"demography_econ","filtered_religious","confessional",70,54
"demography_econ","filtered_religious","neoznačeno",600,465
"demography_econ","filtered_religious","secular",182,141
"demography_econ","original_dta","",1,1
"demography_econ","original_dta","confessional",96,75
"demography_econ","original_dta","neoznačeno",291,226
"demography_econ","original_dta","secular",46,36
"inflation_prices","filtered_religious","",6,4
"inflation_prices","filtered_religious","confessional",42,26
"inflation_prices","filtered_religious","neoznačeno",535,332
"inflation_prices","filtered_religious","secular",257,160
"inflation_prices","original_dta","confessional",88,55
"inflation_prices","original_dta","neoznačeno",530,330
"inflation_prices","original_dta","secular",149,93
"unemployment","filtered_religious","",5,1
"unemployment","filtered_religious","confessional",362,62
"unemployment","filtered_religious","neoznačeno",2207,378
"unemployment","filtered_religious","other",5,1
"unemployment","filtered_religious","secular",508,87
"unemployment","original_dta","",2,0
"unemployment","original_dta","confessional",633,108
"unemployment","original_dta","neoznačeno",1733,296
"unemployment","original_dta","secular",394,67
"wages_income","filtered_religious","",31,2
"wages_income","filtered_religious","confessional",973,71
"wages_income","filtered_religious","neoznačeno",4508,329
"wages_income","filtered_religious","other",1,0
"wages_income","filtered_religious","secular",1037,76
"wages_income","original_dta","",2,0
"wages_income","original_dta","confessional",1624,118
"wages_income","original_dta","neoznačeno",4478,326
"wages_income","original_dta","secular",1070,78
"poverty_social","filtered_religious","",2312,60
"poverty_social","filtered_religious","confessional",4914,129
"poverty_social","filtered_religious","neoznačeno",10035,263
"poverty_social","filtered_religious","other",8,0
"poverty_social","filtered_religious","secular",2532,66
"poverty_social","original_dta","",162,4
"poverty_social","original_dta","confessional",5249,137
"poverty_social","original_dta","neoznačeno",10866,285
"poverty_social","original_dta","other",1,0
"poverty_social","original_dta","secular",2153,56
