"group","n_corpus","pct_corpus","ci95_corpus","n_linked_econ","pct_of_linked","ci95_linked"
"tier1_strict",5407,0.7612,"[0.0074, 0.0078]",2875,2.6384,"[0.0254, 0.0274]"
"tier1_documents",3754,0.5285,"[0.0051, 0.0055]",2082,1.9107,"[0.0183, 0.0199]"
"tier1_markers",2249,0.3166,"[0.0030, 0.0033]",1215,1.115,"[0.0105, 0.0118]"
"tier1b_genre",3315,0.4667,"[0.0045, 0.0048]",1625,1.4913,"[0.0142, 0.0156]"
"tier2_ambiguous",27458,3.8657,"[0.0382, 0.0391]",9423,8.6477,"[0.0848, 0.0882]"
"doc_francis_era",2792,0.3931,"[0.0038, 0.0041]",1598,1.4665,"[0.0140, 0.0154]"
"doc_classical_lab",450,0.0634,"[0.0006, 0.0007]",296,0.2716,"[0.0024, 0.0030]"
"doc_conciliar",677,0.0953,"[0.0009, 0.0010]",304,0.279,"[0.0025, 0.0031]"
"tier1_or_genre",6849,0.9642,"[0.0094, 0.0099]",3357,3.0808,"[0.0298, 0.0319]"
"any_tier",32289,4.5458,"[0.0450, 0.0459]",11455,10.5125,"[0.1033, 0.1070]"
