"term","tier","n_corpus","pct_corpus","n_linked_econ","pct_of_linked","econ_embedding"
"fratelli_tutti","1_document",1163,0.2809,575,0.8663,0.494
"laudato_si","1_document",1074,0.2594,733,1.1043,0.682
"evangelii_gaudium","1_document",655,0.1582,425,0.6403,0.649
"gaudium_et_spes","1_document",463,0.1118,196,0.2953,0.423
"rerum_novarum","1_document",334,0.0807,215,0.3239,0.644
"dignitas_infinita","1_document",140,0.0338,77,0.116,0.55
"pacem_in_terris","1_document",139,0.0336,68,0.1024,0.489
"caritas_in_veritate","1_document",115,0.0278,80,0.1205,0.696
"laudate_deum","1_document",88,0.0213,55,0.0829,0.625
"centesimus_annus","1_document",80,0.0193,57,0.0859,0.713
"populorum_progressio","1_document",61,0.0147,40,0.0603,0.656
"mater_et_magistra","1_document",34,0.0082,24,0.0362,0.706
"laborem_exercens","1_document",34,0.0082,24,0.0362,0.706
"quadragesimo_anno","1_document",27,0.0065,21,0.0316,0.778
"sollicitudo_rei_soc","1_document",23,0.0056,18,0.0271,0.783
"octogesima_adveniens","1_document",2,5e-04,1,0.0015,0.5
"socijalni_nauk","1_marker",1582,0.3821,887,1.3364,0.561
"supsidijarnost","1_marker",297,0.0717,206,0.3104,0.694
"integralna_ekologija","1_marker",106,0.0256,79,0.119,0.745
"kompendij_ksn","1_marker",66,0.0159,49,0.0738,0.742
"opcija_za_siromasne","1_marker",30,0.0072,26,0.0392,0.867
"socijalna_doktrina","1_marker",26,0.0063,18,0.0271,0.692
"univ_namjena_dobara","1_marker",8,0.0019,7,0.0105,0.875
"enciklika","1b_genre",3117,0.7529,1538,2.3172,0.493
"solidarnost","2_ambiguous",11899,2.8743,4579,6.8988,0.385
"opce_dobro","2_ambiguous",3925,0.9481,1856,2.7963,0.473
"dostojanstvo_rada","2_ambiguous",1154,0.2788,506,0.7623,0.438
"socijalna_pravda","2_ambiguous",830,0.2005,551,0.8301,0.664
