"domain","era","Freq"
"business_comp","benedict",0
"demography_econ","benedict",0
"green_energy","benedict",0
"housing","benedict",0
"inflation_prices","benedict",0
"macro_aggregates","benedict",1
"poverty_social","benedict",6
"taxes_fiscal","benedict",8
"unemployment","benedict",0
"wages_income","benedict",0
"business_comp","classical",26
"demography_econ","classical",1
"green_energy","classical",2
"housing","classical",3
"inflation_prices","classical",2
"macro_aggregates","classical",12
"poverty_social","classical",40
"taxes_fiscal","classical",20
"unemployment","classical",5
"wages_income","classical",17
"business_comp","conciliar",5
"demography_econ","conciliar",0
"green_energy","conciliar",3
"housing","conciliar",2
"inflation_prices","conciliar",0
"macro_aggregates","conciliar",4
"poverty_social","conciliar",43
"taxes_fiscal","conciliar",21
"unemployment","conciliar",2
"wages_income","conciliar",3
"business_comp","francis",92
"demography_econ","francis",5
"green_energy","francis",216
"housing","francis",8
"inflation_prices","francis",3
"macro_aggregates","francis",75
"poverty_social","francis",417
"taxes_fiscal","francis",153
"unemployment","francis",34
"wages_income","francis",58
"business_comp","marker_only",82
"demography_econ","marker_only",9
"green_energy","marker_only",6
"housing","marker_only",7
"inflation_prices","marker_only",0
"macro_aggregates","marker_only",40
"poverty_social","marker_only",146
"taxes_fiscal","marker_only",111
"unemployment","marker_only",29
"wages_income","marker_only",32
"business_comp","mixed",22
"demography_econ","mixed",2
"green_energy","mixed",18
"housing","mixed",1
"inflation_prices","mixed",1
"macro_aggregates","mixed",24
"poverty_social","mixed",75
"taxes_fiscal","mixed",33
"unemployment","mixed",4
"wages_income","mixed",20
