"lemma","n_core","n_bg","z"
"papa",449,196,15.0036096254978
"socijalan",275,40,14.1682723119014
"franjo",268,113,11.6888493305143
"klimatski",151,25,10.4448213799129
"promjena",151,32,10.2810423599588
"gospodarstvo",121,35,8.76916155540339
"enciklika",164,1,7.64119348348334
"nauak",109,2,7.09122329213077
"nauk",55,4,6.06505795698102
"promicanje",60,3,6.06340118232033
"društven",66,25,6.00058586412913
"tema",66,26,5.91648200693835
"zatvaranje",55,3,5.86951720643456
"razvoj",60,22,5.78357925065022
"okoliš",51,3,5.70405505116574
"poruka",57,25,5.26168717724062
"moralan",42,11,5.25382509657652
"dokument",41,10,5.25007485500917
"pape",49,18,5.22153097958938
"ljudski",52,21,5.19988033597901
"briga",61,30,5.14877202872476
"opći",39,10,5.08043373921284
"globalan",36,4,5.06589560336261
"društvo",77,47,5.04465415280921
"nada",54,25,4.99410212424448
"patnja",34,5,4.95297298751764
"zajednički",42,15,4.87725621044072
"sebe",34,3,4.85108187940721
"laudato",83,0,4.83700035973329
"svijet",108,83,4.83632996248958
"muškarac",31,5,4.72211297813762
"oko",31,6,4.6799206918414
"papin",42,17,4.66753482817378
"održiv",34,2,4.65586014955334
"lav",45,20,4.64550216182643
"pozvati",75,50,4.63415153999442
"solidarnost",35,11,4.61466495398472
"bol",30,6,4.59193058682234
"radost",42,18,4.559931275074
"crkva",383,444,4.33566718717571
"pobudnica",26,3,4.31130870550163
"nauka",35,1,4.27905265650834
"izvanredan",25,3,4.23363671455354
"ekološki",33,1,4.1906743880807
"ekonomija",25,2,4.12431927837864
"vapaj",25,2,4.12431927837864
"inicijativa",28,9,4.10294207918964
"načelo",23,3,4.0694407563823
"nejednakost",23,3,4.0694407563823
"sveučilište",29,11,3.97084048349118
"problem",35,17,3.92208765735078
"kontekst",23,6,3.88842529798277
"snažan",26,9,3.87238406376105
"si’",53,0,3.86379676593673
"enciklica",26,1,3.84903246710808
"planet",26,1,3.84903246710808
"sam",53,36,3.82797563638939
"isticati",33,16,3.81165156834032
"objaviti",41,24,3.7898020741544
"mjera",22,7,3.64575983423437
"bratstvo",19,4,3.63639348346046
"pokrenuti",19,4,3.63639348346046
"porezni",19,4,3.63639348346046
"centar",50,35,3.61533390199304
"hbk",18,3,3.59351464998635
"dr.",30,15,3.5746146418463
"sabor",21,7,3.51775438983985
"lice",17,3,3.48391320313575
"postajati",25,11,3.47580796618644
"suvremen",25,11,3.47580796618644
"upozoriti",25,11,3.47580796618644
"napast",27,13,3.45949515785543
"konferencija",40,26,3.45345191710673
"bud",19,1,3.4320869744387
"pitanje",50,37,3.42002479551975
"smjeti",19,6,3.39428135094134
"gubitak",16,2,3.39037101434665
"hvaliti",16,3,3.36822478817885
"kapitalizam",16,3,3.36822478817885
"trpiti",16,3,3.36822478817885
"tjeskoba",18,1,3.36318440824771
"cilj",22,9,3.3617518977677
"dijalog",23,10,3.35126713542369
"vatikan",51,39,3.33362559103887
"siromaštvo",112,112,3.32763688139734
"djelovati",31,18,3.31282546285173
"žalost",17,1,3.29114397529614
"ekologija",15,2,3.28694052518423
"predavač",15,2,3.28694052518423
"težnja",15,2,3.28694052518423
"sc.",17,5,3.26490704429168
"poziv",42,30,3.24821719622205
"sinoda",15,3,3.24570608914871
"konzumerizam",16,1,3.21557551411227
"gospodarski",23,11,3.20351592380127
"odnos",35,23,3.20003027009505
"oblik",25,13,3.19105008200822
"fratelli",36,0,3.18373280236867
"dotaknuti",14,2,3.17700890261056
"rješavanje",14,2,3.17700890261056
"stvoriti",15,4,3.12735291903513
"temeljan",16,5,3.1226953021905
"upućivati",14,3,3.11547394115316
"privatan",13,2,3.05963316994242
"promišljanje",13,2,3.05963316994242
"ožujak",28,17,3.04829910462535
"laudat",33,0,3.04807946036441
"samarijanac",33,0,3.04807946036441
"politički",26,15,3.04686527778475
"gaudium",32,0,3.00150419808628
"živ",13,3,2.9764688355946
"novost",15,5,2.97248568377537
"kriv",17,7,2.94698261003315
"pravda",17,7,2.94698261003315
"osiromašivati",12,2,2.93365627680804
"pojavljivati",12,2,2.93365627680804
"različit",27,17,2.9104557179503
"važnost",22,12,2.90771685418229
"temelj",23,13,2.90543407409971
"važan",53,46,2.8965193114425
"primjena",12,1,2.86703389160344
"zemlja",49,42,2.83412171052218
"ključan",12,3,2.82740595463964
"vi.",12,3,2.82740595463964
"bih",14,5,2.81334825001139
"teološki",28,19,2.78193128683023
"odgovornost",17,8,2.77607562647125
"stav",17,8,2.77607562647125
"trenutak",26,17,2.76887279397244
"glasan",11,1,2.7643606743396
"xiv",11,1,2.7643606743396
"zelen",11,1,2.7643606743396
"xiv.",21,12,2.75570260157997
"pavao",22,13,2.75552339666187
"postići",11,3,2.66670835790079
"tumačiti",12,4,2.65842192996194
"narediti",10,1,2.65310600571136
"specifičan",10,1,2.65310600571136
"konstitucija",25,0,2.65275131107412
"plač",25,0,2.65275131107412
"toliki",25,0,2.65275131107412
"kompas",10,2,2.64976001881559
"razumjeti",10,2,2.64976001881559
"ugrožean",10,2,2.64976001881559
"voditelj",10,2,2.64976001881559
"napredak",13,5,2.64418946817958
"tehnologija",13,5,2.64418946817958
"zagovornik",13,5,2.64418946817958
"pisati",26,18,2.63167688003531
"poduzetnik",26,18,2.63167688003531
