"lemma","n","docs"
"papa",2374,719
"crkva",2279,744
"socijalan",1484,551
"franjo",1308,605
"moći",1096,587
"svijet",1089,555
"čovjek",1058,574
"sav",1015,536
"život",965,523
"godina",941,458
"drugi",918,549
"enciklika",799,410
"siromašan",760,427
"nov",757,436
"svet",679,385
"ljudski",675,419
"imati",653,432
"velik",612,432
"društvo",601,349
"reći",601,352
"katolički",596,377
"nauak",591,290
"bog",575,319
"promjena",554,299
"klimatski",539,254
"društven",508,337
"laudato",506,289
"dobar",497,337
"hrvatski",497,231
"tema",493,287
"riječ",487,352
"ljubav",482,274
"zemlja",476,304
"trebati",469,321
"vrijeme",466,322
"pitanje",460,306
"briga",443,277
"vjera",433,270
"zajednica",424,294
"morati",421,285
"prvi",417,278
"hrvatska",401,209
"istaknuti",399,274
"si’",396,184
"osoba",394,289
"zajednički",385,259
"rad",380,228
"dan",375,241
"odnos",375,252
"važan",374,299
"promicanje",371,243
"kršćanski",370,226
"vatikan",370,199
"božji",368,256
"lav",368,147
"govoriti",366,259
"nada",361,190
"način",355,267
"razvoj",348,227
"željeti",346,258
"dr.",340,153
"živjeti",339,258
"pozivati",328,212
"pravo",326,224
"obitelj",320,209
"mir",319,178
"okoliš",318,166
"pozvati",318,224
"siromaštvo",317,206
"nauk",311,186
"put",311,219
"potreban",308,239
"bratstvo",304,153
"dokument",303,180
"konferencija",300,162
"sv.",297,163
"kriza",296,180
"dostojanstvo",295,214
"poruka",294,192
"pape",291,227
"susret",291,189
"vjernik",289,208
"nadbiskup",287,163
"dom",285,202
"dijalog",282,161
"mlad",281,153
"narod",279,182
"poziv",279,199
"opći",277,203
"srce",274,191
"isus",267,165
"centar",266,140
"fratelli",265,167
"dio",264,188
"država",264,169
"ekološki",262,160
"objaviti",262,185
"potreba",261,189
"djelovanje",260,187
"solidarnost",260,194
"crkven",259,202
"apostolski",257,191
"biskup",257,153
"kultura",254,161
"održati",253,168
"enciklica",251,207
"laudat",251,161
"kazati",248,179
"postati",248,201
"dati",247,214
"mjesto",247,196
"sveučilište",247,140
"braća",243,173
"politički",233,162
"doprinos",232,189
"činiti",231,181
"kardinal",231,137
"zaštita",230,175
"sam",229,194
"globalan",228,168
"dobro",227,167
"duh",225,167
"dijete",224,153
"ekologija",224,131
"molitva",222,143
"duhovan",221,163
"sc.",218,95
"načelo",216,132
"odgovornost",216,164
"sestra",213,168
"istina",212,142
"posvetiti",211,128
"djelo",206,165
"rat",205,138
"stvoriti",205,147
"moralan",204,107
"politika",202,134
"izazov",201,165
"žena",201,109
"temeljan",200,162
"oblik",199,141
"različit",198,162
"temelj",194,153
"caritas",193,76
"mnogi",193,135
"povijest",193,151
"cijel",190,168
"ivan",190,134
"ime",189,149
"služba",189,111
"cjelovit",187,111
"raditi",187,153
"suvremen",186,154
"problem",184,142
"radost",183,86
"krist",182,140
"nemati",182,131
"brojan",181,148
"prof.",181,98
"program",181,99
"vlastit",181,164
"kraj",179,146
"područje",179,145
"tutti",178,132
"tražiti",177,143
"emisija",176,87
"vidjeti",175,132
"knjiga",174,96
"hrana",173,81
"konkretan",173,134
"cilj",172,134
"isticati",172,141
"papin",170,121
"tekst",169,110
"ekonomski",168,138
"početak",168,148
"pravda",167,122
"pavao",166,98
"vatikanski",166,129
"upozoriti",165,128
"pastoralan",164,121
"xiv.",164,86
"budućnost",162,132
"svjetski",161,110
"poslanje",160,133
"teologija",160,90
"isti",159,143
"suradnja",159,117
"svibanj",159,100
"moliti",157,104
"biskupski",156,116
"stolica",156,71
"zagreb",156,103
"pobudnica",155,109
"projekt",154,94
"broj",153,115
"međunarodni",153,112
"smrt",153,126
"sudjelovati",153,128
"franja",152,120
