"term","n","pct","kind","era"
"socijalni_nauk",366,27.4,"marker","—"
"laudato_si",341,25.52,"document","francis"
"fratelli_tutti",164,12.28,"document","francis"
"evangelii_gaudium",127,9.51,"document","francis"
"supsidijarnost",58,4.34,"marker","—"
"rerum_novarum",48,3.59,"document","classical"
"gaudium_et_spes",44,3.29,"document","conciliar"
"opcija_za_siromasne",26,1.95,"marker","—"
"integralna_ekologija",25,1.87,"marker","—"
"laudate_deum",23,1.72,"document","francis"
"populorum_progressio",20,1.5,"document","conciliar"
"caritas_in_veritate",17,1.27,"document","benedict"
"centesimus_annus",16,1.2,"document","classical"
"sollicitudo_rei_soc",10,0.75,"document","classical"
"kompendij_ksn",9,0.67,"marker","—"
"socijalna_doktrina",9,0.67,"marker","—"
"laborem_exercens",8,0.6,"document","classical"
"pacem_in_terris",7,0.52,"document","conciliar"
"dignitas_infinita",6,0.45,"document","francis"
"mater_et_magistra",5,0.37,"document","conciliar"
"univ_namjena_dobara",4,0.3,"marker","—"
"quadragesimo_anno",3,0.22,"document","classical"
