"cluster_size","n_clusters","key"
1,57913,"window"
2,8797,"window"
3,2414,"window"
4,1248,"window"
5,623,"window"
6,441,"window"
7,274,"window"
8,173,"window"
9,128,"window"
10,90,"window"
11,88,"window"
12,60,"window"
13,41,"window"
14,34,"window"
15,14,"window"
16,21,"window"
17,13,"window"
18,12,"window"
19,7,"window"
20,13,"window"
21,7,"window"
22,5,"window"
23,6,"window"
24,3,"window"
25,3,"window"
26,3,"window"
27,2,"window"
28,1,"window"
29,3,"window"
30,2,"window"
31,1,"window"
32,3,"window"
34,2,"window"
35,1,"window"
36,1,"window"
38,4,"window"
40,1,"window"
43,1,"window"
45,1,"window"
48,1,"window"
49,1,"window"
56,1,"window"
58,1,"window"
62,1,"window"
66,1,"window"
70,1,"window"
71,1,"window"
72,1,"window"
74,1,"window"
84,1,"window"
87,1,"window"
91,1,"window"
97,1,"window"
116,1,"window"
158,1,"window"
165,1,"window"
424,1,"window"
653,1,"window"
2141,1,"window"
1,82509,"title"
2,7288,"title"
3,1141,"title"
4,539,"title"
5,210,"title"
6,132,"title"
7,51,"title"
8,39,"title"
9,24,"title"
10,15,"title"
11,10,"title"
12,9,"title"
13,7,"title"
14,7,"title"
15,2,"title"
16,2,"title"
18,2,"title"
19,1,"title"
20,3,"title"
21,2,"title"
23,3,"title"
27,2,"title"
28,1,"title"
29,4,"title"
30,2,"title"
32,1,"title"
33,1,"title"
41,1,"title"
42,1,"title"
47,1,"title"
48,2,"title"
50,1,"title"
52,3,"title"
54,1,"title"
56,1,"title"
74,1,"title"
79,1,"title"
84,1,"title"
126,1,"title"
133,1,"title"
140,1,"title"
184,1,"title"
185,1,"title"
245,1,"title"
292,1,"title"
323,1,"title"
