"domain","linked_pairs","core_pairs","detected_rate","specification","omitted_terms"
"macro_aggregates",1938,94,4.8504,"baseline","none"
"euro_changeover",243,0,0,"baseline","none"
"taxes_fiscal",14110,208,1.4741,"baseline","none"
"business_comp",13143,121,0.9206,"baseline","none"
"green_energy",1559,202,12.957,"baseline","none"
"housing",2627,1,0.0381,"baseline","none"
"demography_econ",567,3,0.5291,"baseline","none"
"inflation_prices",787,1,0.1271,"baseline","none"
"unemployment",3335,30,0.8996,"baseline","none"
"wages_income",9776,44,0.4501,"baseline","none"
"poverty_social",31354,586,1.869,"baseline","none"
"macro_aggregates",1938,89,4.5924,"leave_out_rerum_novarum","rerum_novarum"
"euro_changeover",243,0,0,"leave_out_rerum_novarum","rerum_novarum"
"taxes_fiscal",14110,206,1.46,"leave_out_rerum_novarum","rerum_novarum"
"business_comp",13143,117,0.8902,"leave_out_rerum_novarum","rerum_novarum"
"green_energy",1559,202,12.957,"leave_out_rerum_novarum","rerum_novarum"
"housing",2627,1,0.0381,"leave_out_rerum_novarum","rerum_novarum"
"demography_econ",567,3,0.5291,"leave_out_rerum_novarum","rerum_novarum"
"inflation_prices",787,1,0.1271,"leave_out_rerum_novarum","rerum_novarum"
"unemployment",3335,29,0.8696,"leave_out_rerum_novarum","rerum_novarum"
"wages_income",9776,39,0.3989,"leave_out_rerum_novarum","rerum_novarum"
"poverty_social",31354,577,1.8403,"leave_out_rerum_novarum","rerum_novarum"
"macro_aggregates",1938,94,4.8504,"leave_out_quadragesimo_anno","quadragesimo_anno"
"euro_changeover",243,0,0,"leave_out_quadragesimo_anno","quadragesimo_anno"
"taxes_fiscal",14110,208,1.4741,"leave_out_quadragesimo_anno","quadragesimo_anno"
"business_comp",13143,121,0.9206,"leave_out_quadragesimo_anno","quadragesimo_anno"
"green_energy",1559,202,12.957,"leave_out_quadragesimo_anno","quadragesimo_anno"
"housing",2627,1,0.0381,"leave_out_quadragesimo_anno","quadragesimo_anno"
"demography_econ",567,3,0.5291,"leave_out_quadragesimo_anno","quadragesimo_anno"
"inflation_prices",787,1,0.1271,"leave_out_quadragesimo_anno","quadragesimo_anno"
"unemployment",3335,29,0.8696,"leave_out_quadragesimo_anno","quadragesimo_anno"
"wages_income",9776,44,0.4501,"leave_out_quadragesimo_anno","quadragesimo_anno"
"poverty_social",31354,586,1.869,"leave_out_quadragesimo_anno","quadragesimo_anno"
"macro_aggregates",1938,94,4.8504,"leave_out_mater_et_magistra","mater_et_magistra"
"euro_changeover",243,0,0,"leave_out_mater_et_magistra","mater_et_magistra"
"taxes_fiscal",14110,208,1.4741,"leave_out_mater_et_magistra","mater_et_magistra"
"business_comp",13143,121,0.9206,"leave_out_mater_et_magistra","mater_et_magistra"
"green_energy",1559,202,12.957,"leave_out_mater_et_magistra","mater_et_magistra"
