"specification","code","adjusted_top_domain","adjusted_top_rate","adjusted_runner_up","adjusted_runner_rate","adjusted_green_rate","adjusted_green_first_share"
"baseline","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.2756,14.6683,1
"baseline","ax1_strict","green_energy",14.6683,"macro_aggregates",7.4622,14.6683,1
"leave_out_rerum_novarum","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",6.8886,14.6683,1
"leave_out_rerum_novarum","ax1_strict","green_energy",14.6683,"macro_aggregates",7.0652,14.6683,1
"leave_out_quadragesimo_anno","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.2756,14.6683,1
"leave_out_quadragesimo_anno","ax1_strict","green_energy",14.6683,"macro_aggregates",7.4622,14.6683,0.99995
"leave_out_mater_et_magistra","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.2756,14.6683,1
"leave_out_mater_et_magistra","ax1_strict","green_energy",14.6683,"macro_aggregates",7.4622,14.6683,1
"leave_out_pacem_in_terris","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.2756,14.6683,1
"leave_out_pacem_in_terris","ax1_strict","green_energy",14.6683,"macro_aggregates",7.4622,14.6683,1
"leave_out_gaudium_et_spes","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.2756,14.6683,1
"leave_out_gaudium_et_spes","ax1_strict","green_energy",14.6683,"macro_aggregates",7.4622,14.6683,1
"leave_out_populorum_progressio","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.0434,14.6683,1
"leave_out_populorum_progressio","ax1_strict","green_energy",14.6683,"macro_aggregates",7.224,14.6683,1
"leave_out_octogesima_adveniens","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.2756,14.6683,1
"leave_out_octogesima_adveniens","ax1_strict","green_energy",14.6683,"macro_aggregates",7.4622,14.6683,1
"leave_out_laborem_exercens","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.2756,14.6683,1
"leave_out_laborem_exercens","ax1_strict","green_energy",14.6683,"macro_aggregates",7.4622,14.6683,1
"leave_out_sollicitudo_rei_soc","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.2756,14.6683,1
"leave_out_sollicitudo_rei_soc","ax1_strict","green_energy",14.6683,"macro_aggregates",7.4622,14.6683,1
"leave_out_centesimus_annus","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.1208,14.6683,1
"leave_out_centesimus_annus","ax1_strict","green_energy",14.6683,"macro_aggregates",7.3034,14.6683,1
"leave_out_caritas_in_veritate","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.2756,14.6683,1
"leave_out_caritas_in_veritate","ax1_strict","green_energy",14.6683,"macro_aggregates",7.4622,14.6683,1
"leave_out_evangelii_gaudium","ax1_link_genuine","green_energy",14.5957,"macro_aggregates",6.8112,14.5957,1
"leave_out_evangelii_gaudium","ax1_strict","green_energy",14.5957,"macro_aggregates",6.9858,14.5957,1
"leave_out_laudato_si","ax1_link_genuine","macro_aggregates",5.4954,"taxes_fiscal",4.0734,3.413,0
"leave_out_laudato_si","ax1_strict","macro_aggregates",5.6363,"taxes_fiscal",4.2997,3.413,0
"leave_out_fratelli_tutti","ax1_link_genuine","green_energy",14.5231,"macro_aggregates",7.1982,14.5231,1
"leave_out_fratelli_tutti","ax1_strict","green_energy",14.5231,"macro_aggregates",7.3828,14.5231,1
"leave_out_laudate_deum","ax1_link_genuine","green_energy",14.0148,"macro_aggregates",7.2756,14.0148,1
"leave_out_laudate_deum","ax1_strict","green_energy",14.0148,"macro_aggregates",7.4622,14.0148,1
"leave_out_dignitas_infinita","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.1982,14.6683,1
"leave_out_dignitas_infinita","ax1_strict","green_energy",14.6683,"macro_aggregates",7.3828,14.6683,1
"leave_out_socijalni_nauk","ax1_link_genuine","green_energy",14.0148,"macro_aggregates",4.7214,14.0148,1
"leave_out_socijalni_nauk","ax1_strict","green_energy",14.0148,"macro_aggregates",4.8425,14.0148,1
"leave_out_socijalna_doktrina","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.2756,14.6683,1
"leave_out_socijalna_doktrina","ax1_strict","green_energy",14.6683,"macro_aggregates",7.4622,14.6683,1
"leave_out_kompendij_ksn","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.2756,14.6683,1
"leave_out_kompendij_ksn","ax1_strict","green_energy",14.6683,"macro_aggregates",7.4622,14.6683,1
"leave_out_supsidijarnost","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.1982,14.6683,1
"leave_out_supsidijarnost","ax1_strict","green_energy",14.6683,"macro_aggregates",7.3828,14.6683,1
"leave_out_integralna_ekologija","ax1_link_genuine","green_energy",14.5957,"macro_aggregates",7.2756,14.5957,1
"leave_out_integralna_ekologija","ax1_strict","green_energy",14.5957,"macro_aggregates",7.4622,14.5957,1
"leave_out_univ_namjena_dobara","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.2756,14.6683,1
"leave_out_univ_namjena_dobara","ax1_strict","green_energy",14.6683,"macro_aggregates",7.4622,14.6683,1
"leave_out_opcija_za_siromasne","ax1_link_genuine","green_energy",14.6683,"macro_aggregates",7.2756,14.6683,1
"leave_out_opcija_za_siromasne","ax1_strict","green_energy",14.6683,"macro_aggregates",7.4622,14.6683,1
"leave_out_ecology_markers","ax1_link_genuine","macro_aggregates",5.3406,"taxes_fiscal",3.8943,1.9606,0
"leave_out_ecology_markers","ax1_strict","macro_aggregates",5.4775,"taxes_fiscal",4.1107,1.9606,0
