"variant","domain","linked","doctrinal","rate","lo","hi"
"baseline","green_energy",1559,202,12.957,11.381,14.716
"baseline","macro_aggregates",1938,94,4.85,3.98,5.899
"baseline","poverty_social",31354,586,1.869,1.725,2.025
"baseline","taxes_fiscal",14110,208,1.474,1.288,1.687
"baseline","business_comp",13143,121,0.921,0.771,1.099
"baseline","unemployment",3335,30,0.9,0.631,1.281
"baseline","demography_econ",567,3,0.529,0.18,1.544
"baseline","wages_income",9776,44,0.45,0.335,0.604
"baseline","inflation_prices",787,1,0.127,0.022,0.716
"baseline","housing",2627,1,0.038,0.007,0.215
"baseline","euro_changeover",243,0,0,0,1.556
"dedup_window","green_energy",1062,141,13.277,11.368,15.451
"dedup_window","macro_aggregates",1359,63,4.636,3.64,5.887
"dedup_window","poverty_social",19286,414,2.147,1.951,2.361
"dedup_window","taxes_fiscal",9439,158,1.674,1.434,1.953
"dedup_window","unemployment",2300,26,1.13,0.773,1.651
"dedup_window","business_comp",9090,87,0.957,0.777,1.179
"dedup_window","wages_income",7133,35,0.491,0.353,0.682
"dedup_window","demography_econ",428,2,0.467,0.128,1.688
"dedup_window","inflation_prices",572,1,0.175,0.031,0.984
"dedup_window","housing",1782,1,0.056,0.01,0.317
"dedup_window","euro_changeover",183,0,0,0,2.056
"dedup_title","green_energy",1292,168,13.003,11.278,14.947
"dedup_title","macro_aggregates",1683,82,4.872,3.943,6.008
"dedup_title","poverty_social",25884,474,1.831,1.675,2.002
"dedup_title","taxes_fiscal",11774,175,1.486,1.283,1.721
"dedup_title","business_comp",10669,98,0.919,0.754,1.118
"dedup_title","unemployment",2869,26,0.906,0.619,1.325
"dedup_title","wages_income",8400,39,0.464,0.34,0.634
"dedup_title","demography_econ",504,2,0.397,0.109,1.435
"dedup_title","inflation_prices",667,1,0.15,0.026,0.844
"dedup_title","housing",2055,1,0.049,0.009,0.275
"dedup_title","euro_changeover",200,0,0,0,1.885
"domestic","green_energy",1292,173,13.39,11.641,15.356
"domestic","macro_aggregates",1706,88,5.158,4.206,6.312
"domestic","poverty_social",28378,519,1.829,1.679,1.991
"domestic","taxes_fiscal",12743,196,1.538,1.339,1.767
"domestic","business_comp",11874,108,0.91,0.754,1.097
"domestic","unemployment",3140,27,0.86,0.592,1.248
"domestic","demography_econ",521,3,0.576,0.196,1.679
"domestic","wages_income",9034,43,0.476,0.354,0.64
"domestic","inflation_prices",650,1,0.154,0.027,0.866
"domestic","housing",2377,1,0.042,0.007,0.238
"domestic","euro_changeover",222,0,0,0,1.701
"ex_metaphor","green_energy",1559,202,12.957,11.381,14.716
"ex_metaphor","macro_aggregates",1938,94,4.85,3.98,5.899
