"variant","posts","pairs","top_domain","green_rate","next_domain","next_rate","ratio","green_first","intervals_disjoint"
"baseline",108966,132519,"green_energy",7.15,"macro_aggregates",2.2,3.25,TRUE,TRUE
"dedup_window",72474,87685,"green_energy",7.09,"macro_aggregates",2.43,2.92,TRUE,TRUE
"dedup_title",92029,111503,"green_energy",7.02,"macro_aggregates",2.22,3.17,TRUE,TRUE
"domestic",96697,115440,"green_energy",8.17,"macro_aggregates",2.65,3.08,TRUE,TRUE
"ex_metaphor",108963,132512,"green_energy",7.15,"macro_aggregates",2.2,3.25,TRUE,TRUE
"ex_caritas",108396,131024,"green_energy",7.16,"macro_aggregates",2.21,3.24,TRUE,TRUE
"stream_filtered_religious",61677,73697,"green_energy",3.84,"poverty_social",1.48,2.6,TRUE,TRUE
"stream_original_dta",47289,58822,"green_energy",13.19,"macro_aggregates",5.05,2.61,TRUE,TRUE
"loo_01",96696,117514,"green_energy",6.34,"poverty_social",1.5,4.22,TRUE,TRUE
"loo_02",106914,130083,"green_energy",6.91,"macro_aggregates",1.97,3.5,TRUE,TRUE
"loo_03",107935,131281,"green_energy",7.06,"macro_aggregates",2.11,3.34,TRUE,TRUE
"loo_04",107710,130999,"green_energy",7.14,"macro_aggregates",2.18,3.27,TRUE,TRUE
"loo_05",107860,131028,"green_energy",6.97,"macro_aggregates",2.22,3.14,TRUE,TRUE
"loo_06",108668,132102,"green_energy",7.07,"macro_aggregates",2.18,3.25,TRUE,TRUE
"loo_07",108703,132236,"green_energy",7.11,"macro_aggregates",2.15,3.31,TRUE,TRUE
"loo_08",107692,130992,"green_energy",7.15,"macro_aggregates",2.17,3.29,TRUE,TRUE
"loo_09",108400,131851,"green_energy",7.16,"macro_aggregates",2.19,3.28,TRUE,TRUE
"loo_10",107927,131214,"green_energy",7.06,"macro_aggregates",2.18,3.24,TRUE,TRUE
"loo_top01",96696,117514,"green_energy",6.34,"poverty_social",1.5,4.22,TRUE,TRUE
"loo_top03",93613,113840,"green_energy",5.95,"poverty_social",1.35,4.39,TRUE,TRUE
"loo_top05",91251,110829,"green_energy",5.72,"poverty_social",1.33,4.3,TRUE,TRUE
"loo_top10",87811,106629,"green_energy",5.4,"poverty_social",1.17,4.63,TRUE,TRUE
"secular_min",30840,38194,"green_energy",7.52,"poverty_social",1.98,3.79,TRUE,TRUE
"secular_max",84928,103721,"green_energy",5.16,"poverty_social",1.18,4.36,TRUE,TRUE
"confessional_only",24038,28798,"green_energy",22.31,"macro_aggregates",15.96,1.4,TRUE,FALSE
