"","macro_aggregates","euro_changeover","taxes_fiscal","business_comp","green_energy","housing","demography_econ","inflation_prices","unemployment","wages_income","poverty_social"
"macro_aggregates",31604,989,4216,15322,4648,4178,2262,3633,6222,2990,4926
"euro_changeover",989,2069,452,1014,281,430,167,684,459,417,472
"taxes_fiscal",4216,452,15066,6881,1376,2881,994,1950,2505,1923,3160
"business_comp",15322,1014,6881,65068,5321,7580,2697,3604,8450,3955,8675
"green_energy",4648,281,1376,5321,11854,1539,747,1843,1862,1037,2285
"housing",4178,430,2881,7580,1539,18727,1129,1849,2983,1957,3774
"demography_econ",2262,167,994,2697,747,1129,6038,869,2068,1171,1739
"inflation_prices",3633,684,1950,3604,1843,1849,869,8478,1632,1768,2049
"unemployment",6222,459,2505,8450,1862,2983,2068,1632,22150,2994,4830
"wages_income",2990,417,1923,3955,1037,1957,1171,1768,2994,14544,3085
"poverty_social",4926,472,3160,8675,2285,3774,1739,2049,4830,3085,61857
