"ym","data_source","n","domain"
"2021-01","original_dta",644,"macro_aggregates"
"2021-02","original_dta",301,"macro_aggregates"
"2021-03","original_dta",243,"macro_aggregates"
"2021-04","original_dta",202,"macro_aggregates"
"2021-05","original_dta",182,"macro_aggregates"
"2021-06","original_dta",181,"macro_aggregates"
"2021-07","original_dta",203,"macro_aggregates"
"2021-08","original_dta",162,"macro_aggregates"
"2021-09","original_dta",141,"macro_aggregates"
"2021-10","original_dta",205,"macro_aggregates"
"2021-11","original_dta",286,"macro_aggregates"
"2021-12","original_dta",281,"macro_aggregates"
"2022-01","original_dta",269,"macro_aggregates"
"2022-02","original_dta",156,"macro_aggregates"
"2022-03","original_dta",199,"macro_aggregates"
"2022-04","original_dta",200,"macro_aggregates"
"2022-05","original_dta",205,"macro_aggregates"
"2022-06","original_dta",156,"macro_aggregates"
"2022-07","original_dta",164,"macro_aggregates"
"2022-08","original_dta",177,"macro_aggregates"
"2022-09","original_dta",183,"macro_aggregates"
"2022-10","original_dta",176,"macro_aggregates"
"2022-11","original_dta",186,"macro_aggregates"
"2022-12","original_dta",232,"macro_aggregates"
"2023-01","original_dta",199,"macro_aggregates"
"2023-02","original_dta",127,"macro_aggregates"
"2023-03","original_dta",150,"macro_aggregates"
"2023-04","original_dta",158,"macro_aggregates"
"2023-05","original_dta",234,"macro_aggregates"
"2023-06","original_dta",151,"macro_aggregates"
"2023-07","original_dta",132,"macro_aggregates"
"2023-08","original_dta",153,"macro_aggregates"
"2023-09","original_dta",145,"macro_aggregates"
"2023-10","original_dta",164,"macro_aggregates"
"2023-11","original_dta",141,"macro_aggregates"
"2023-12","original_dta",211,"macro_aggregates"
"2024-01","original_dta",51,"macro_aggregates"
"2024-06","original_dta",283,"macro_aggregates"
"2024-07","filtered_religious",922,"macro_aggregates"
"2024-07","original_dta",6,"macro_aggregates"
"2024-08","filtered_religious",539,"macro_aggregates"
"2024-09","filtered_religious",398,"macro_aggregates"
"2024-10","filtered_religious",914,"macro_aggregates"
"2024-11","filtered_religious",1165,"macro_aggregates"
"2024-12","filtered_religious",1092,"macro_aggregates"
"2025-01","filtered_religious",749,"macro_aggregates"
"2025-02","filtered_religious",1003,"macro_aggregates"
"2025-03","filtered_religious",1051,"macro_aggregates"
"2025-04","filtered_religious",742,"macro_aggregates"
"2025-05","filtered_religious",952,"macro_aggregates"
"2025-06","filtered_religious",1001,"macro_aggregates"
"2025-07","filtered_religious",952,"macro_aggregates"
"2025-08","filtered_religious",729,"macro_aggregates"
"2025-09","filtered_religious",582,"macro_aggregates"
"2025-10","filtered_religious",1350,"macro_aggregates"
"2025-11","filtered_religious",1115,"macro_aggregates"
"2025-12","filtered_religious",1320,"macro_aggregates"
"2026-01","filtered_religious",1002,"macro_aggregates"
"2026-02","filtered_religious",1109,"macro_aggregates"
"2026-03","filtered_religious",1514,"macro_aggregates"
"2026-04","filtered_religious",1472,"macro_aggregates"
"2026-05","filtered_religious",1656,"macro_aggregates"
"2026-06","filtered_religious",636,"macro_aggregates"
"2021-01","original_dta",18,"euro_changeover"
"2021-02","original_dta",17,"euro_changeover"
"2021-03","original_dta",22,"euro_changeover"
"2021-04","original_dta",11,"euro_changeover"
"2021-05","original_dta",10,"euro_changeover"
"2021-06","original_dta",9,"euro_changeover"
"2021-07","original_dta",12,"euro_changeover"
"2021-08","original_dta",12,"euro_changeover"
"2021-09","original_dta",23,"euro_changeover"
"2021-10","original_dta",17,"euro_changeover"
"2021-11","original_dta",39,"euro_changeover"
"2021-12","original_dta",18,"euro_changeover"
"2022-01","original_dta",34,"euro_changeover"
"2022-02","original_dta",21,"euro_changeover"
"2022-03","original_dta",15,"euro_changeover"
"2022-04","original_dta",14,"euro_changeover"
"2022-05","original_dta",15,"euro_changeover"
"2022-06","original_dta",60,"euro_changeover"
"2022-07","original_dta",33,"euro_changeover"
"2022-08","original_dta",14,"euro_changeover"
"2022-09","original_dta",17,"euro_changeover"
"2022-10","original_dta",22,"euro_changeover"
"2022-11","original_dta",48,"euro_changeover"
"2022-12","original_dta",88,"euro_changeover"
"2023-01","original_dta",84,"euro_changeover"
"2023-02","original_dta",35,"euro_changeover"
"2023-03","original_dta",29,"euro_changeover"
"2023-04","original_dta",31,"euro_changeover"
"2023-05","original_dta",36,"euro_changeover"
"2023-06","original_dta",20,"euro_changeover"
"2023-07","original_dta",20,"euro_changeover"
"2023-08","original_dta",13,"euro_changeover"
"2023-09","original_dta",15,"euro_changeover"
"2023-10","original_dta",12,"euro_changeover"
"2023-11","original_dta",19,"euro_changeover"
"2023-12","original_dta",37,"euro_changeover"
"2024-01","original_dta",10,"euro_changeover"
