"domain","tier","n","pct_corpus","n_sampled","linked","linked_lo","linked_hi","linked_ex_caritas","linked_stream_2021_24","linked_stream_2024_26","pct_classified","confessional_share_of_classified"
"macro_aggregates","A",31604,4.45,1200,0.207,0.185,0.23,0.205,0.225,0.201,0.219,0.106
"euro_changeover","A",2069,0.29,1200,0.197,0.175,0.22,0.195,0.297,0.107,0.239,0.11
"taxes_fiscal","A",15066,2.12,1200,0.255,0.231,0.28,0.243,0.353,0.199,0.216,0.148
"business_comp","A",65068,9.16,1200,0.315,0.289,0.342,0.312,0.394,0.277,0.232,0.19
"green_energy","B",11854,1.67,1200,0.284,0.259,0.31,0.283,0.378,0.249,0.238,0.162
"housing","B",18727,2.64,1200,0.285,0.26,0.311,0.274,0.422,0.204,0.265,0.169
"demography_econ","B",6038,0.85,1200,0.213,0.191,0.237,0.208,0.32,0.178,0.242,0.178
"inflation_prices","C",8478,1.19,1200,0.171,0.151,0.193,0.168,0.273,0.126,0.275,0.081
"unemployment","C",22150,3.12,1200,0.263,0.239,0.289,0.259,0.363,0.199,0.247,0.292
"wages_income","C",14544,2.05,1200,0.282,0.257,0.308,0.278,0.388,0.217,0.254,0.181
"poverty_social","C",61857,8.71,1200,0.618,0.59,0.645,0.611,0.694,0.555,0.379,0.6
