"stratum","domain","split","n"
"domain_core","business_comp","fit",11
"precision_gap","business_comp","fit",2
"random_linked","business_comp","fit",2
"recall_gap","business_comp","fit",3
"domain_core","demography_econ","fit",11
"precision_gap","demography_econ","fit",3
"recall_gap","demography_econ","fit",3
"domain_core","euro_changeover","fit",10
"recall_gap","euro_changeover","fit",6
"domain_core","green_energy","fit",11
"precision_gap","green_energy","fit",1
"random_linked","green_energy","fit",2
"recall_gap","green_energy","fit",4
"domain_core","housing","fit",8
"precision_gap","housing","fit",2
"recall_gap","housing","fit",5
"domain_core","inflation_prices","fit",8
"precision_gap","inflation_prices","fit",1
"recall_gap","inflation_prices","fit",6
"domain_core","macro_aggregates","fit",8
"precision_gap","macro_aggregates","fit",1
"recall_gap","macro_aggregates","fit",4
"domain_core","poverty_social","fit",9
"poverty_split","poverty_social","fit",30
"precision_gap","poverty_social","fit",3
"random_linked","poverty_social","fit",5
"recall_gap","poverty_social","fit",2
"register_cell","poverty_social","fit",33
"domain_core","taxes_fiscal","fit",10
"precision_gap","taxes_fiscal","fit",3
"random_linked","taxes_fiscal","fit",2
"recall_gap","taxes_fiscal","fit",3
"domain_core","unemployment","fit",11
"precision_gap","unemployment","fit",1
"recall_gap","unemployment","fit",5
"domain_core","wages_income","fit",12
"precision_gap","wages_income","fit",3
"random_linked","wages_income","fit",3
"recall_gap","wages_income","fit",3
"register_cell","wages_income","fit",26
"domain_core","business_comp","validate",9
"precision_gap","business_comp","validate",2
"random_linked","business_comp","validate",2
"recall_gap","business_comp","validate",5
"domain_core","demography_econ","validate",9
"recall_gap","demography_econ","validate",5
"domain_core","euro_changeover","validate",10
"precision_gap","euro_changeover","validate",2
"recall_gap","euro_changeover","validate",2
"domain_core","green_energy","validate",9
"precision_gap","green_energy","validate",3
"recall_gap","green_energy","validate",4
"domain_core","housing","validate",12
"precision_gap","housing","validate",2
"recall_gap","housing","validate",3
"domain_core","inflation_prices","validate",12
"precision_gap","inflation_prices","validate",3
"recall_gap","inflation_prices","validate",2
"domain_core","macro_aggregates","validate",12
"precision_gap","macro_aggregates","validate",3
"recall_gap","macro_aggregates","validate",4
"domain_core","poverty_social","validate",11
"poverty_split","poverty_social","validate",30
"precision_gap","poverty_social","validate",1
"random_linked","poverty_social","validate",9
"recall_gap","poverty_social","validate",6
"register_cell","poverty_social","validate",27
"domain_core","taxes_fiscal","validate",10
"precision_gap","taxes_fiscal","validate",1
"random_linked","taxes_fiscal","validate",2
"recall_gap","taxes_fiscal","validate",5
"domain_core","unemployment","validate",8
"precision_gap","unemployment","validate",3
"recall_gap","unemployment","validate",3
"domain_core","wages_income","validate",8
"precision_gap","wages_income","validate",1
"random_linked","wages_income","validate",1
"recall_gap","wages_income","validate",5
"register_cell","wages_income","validate",33
