"domain","n","genuine","rate","lo","hi","subset"
"green_energy",2,1,50,9.5,90.5,"random_linked"
"taxes_fiscal",4,2,50,15,85,"random_linked"
"poverty_social",14,6,42.9,21.4,67.4,"random_linked"
"business_comp",4,0,0,0,49,"random_linked"
"wages_income",4,0,0,0,49,"random_linked"
"housing",32,17,53.1,36.4,69.1,"all_strata"
"poverty_social",166,85,51.2,43.7,58.7,"all_strata"
"demography_econ",31,15,48.4,32,65.2,"all_strata"
"unemployment",31,13,41.9,26.4,59.2,"all_strata"
"euro_changeover",30,12,40,24.6,57.7,"all_strata"
"green_energy",34,12,35.3,21.5,52.1,"all_strata"
"inflation_prices",32,11,34.4,20.4,51.7,"all_strata"
"taxes_fiscal",36,7,19.4,9.8,35,"all_strata"
"wages_income",95,17,17.9,11.5,26.8,"all_strata"
"business_comp",36,2,5.6,1.5,18.1,"all_strata"
"macro_aggregates",32,1,3.1,0.6,15.7,"all_strata"
