"year","event","date","type","secular_twin","note"
"2021","ash_wednesday_lent_onset","2021-02-17","movable","FALSE","Lent begins; no secular economic twin — CLEAN for H3"
"2021","easter","2021-04-04","movable","TRUE","spring consumption season — secular twin"
"2021","corpus_christi","2021-06-03","movable","FALSE","Thu after Trinity; CLEAN for H3"
"2021","st_joseph_worker","2021-05-01","fixed","TRUE","1 May = International Workers' Day — COLLINEAR, exclude from clean H3"
"2021","world_day_of_poor","2021-11-14","movable","FALSE","key poverty observance; near but not on a fixed secular econ date"
"2021","advent_1","2021-11-28","movable","TRUE","year-end consumption/budget season — COLLINEAR"
"2021","christmas","2021-12-25","fixed","TRUE","consumption peak — secular twin"
"2022","ash_wednesday_lent_onset","2022-03-02","movable","FALSE","Lent begins; no secular economic twin — CLEAN for H3"
"2022","easter","2022-04-17","movable","TRUE","spring consumption season — secular twin"
"2022","corpus_christi","2022-06-16","movable","FALSE","Thu after Trinity; CLEAN for H3"
"2022","st_joseph_worker","2022-05-01","fixed","TRUE","1 May = International Workers' Day — COLLINEAR, exclude from clean H3"
"2022","world_day_of_poor","2022-11-13","movable","FALSE","key poverty observance; near but not on a fixed secular econ date"
"2022","advent_1","2022-11-27","movable","TRUE","year-end consumption/budget season — COLLINEAR"
"2022","christmas","2022-12-25","fixed","TRUE","consumption peak — secular twin"
"2023","ash_wednesday_lent_onset","2023-02-22","movable","FALSE","Lent begins; no secular economic twin — CLEAN for H3"
"2023","easter","2023-04-09","movable","TRUE","spring consumption season — secular twin"
"2023","corpus_christi","2023-06-08","movable","FALSE","Thu after Trinity; CLEAN for H3"
"2023","st_joseph_worker","2023-05-01","fixed","TRUE","1 May = International Workers' Day — COLLINEAR, exclude from clean H3"
"2023","world_day_of_poor","2023-11-19","movable","FALSE","key poverty observance; near but not on a fixed secular econ date"
"2023","advent_1","2023-12-03","movable","TRUE","year-end consumption/budget season — COLLINEAR"
"2023","christmas","2023-12-25","fixed","TRUE","consumption peak — secular twin"
"2024","ash_wednesday_lent_onset","2024-02-14","movable","FALSE","Lent begins; no secular economic twin — CLEAN for H3"
"2024","easter","2024-03-31","movable","TRUE","spring consumption season — secular twin"
"2024","corpus_christi","2024-05-30","movable","FALSE","Thu after Trinity; CLEAN for H3"
"2024","st_joseph_worker","2024-05-01","fixed","TRUE","1 May = International Workers' Day — COLLINEAR, exclude from clean H3"
"2024","world_day_of_poor","2024-11-17","movable","FALSE","key poverty observance; near but not on a fixed secular econ date"
"2024","advent_1","2024-12-01","movable","TRUE","year-end consumption/budget season — COLLINEAR"
"2024","christmas","2024-12-25","fixed","TRUE","consumption peak — secular twin"
"2025","ash_wednesday_lent_onset","2025-03-05","movable","FALSE","Lent begins; no secular economic twin — CLEAN for H3"
"2025","easter","2025-04-20","movable","TRUE","spring consumption season — secular twin"
"2025","corpus_christi","2025-06-19","movable","FALSE","Thu after Trinity; CLEAN for H3"
"2025","st_joseph_worker","2025-05-01","fixed","TRUE","1 May = International Workers' Day — COLLINEAR, exclude from clean H3"
"2025","world_day_of_poor","2025-11-16","movable","FALSE","key poverty observance; near but not on a fixed secular econ date"
"2025","advent_1","2025-11-30","movable","TRUE","year-end consumption/budget season — COLLINEAR"
"2025","christmas","2025-12-25","fixed","TRUE","consumption peak — secular twin"
"2026","ash_wednesday_lent_onset","2026-02-18","movable","FALSE","Lent begins; no secular economic twin — CLEAN for H3"
"2026","easter","2026-04-05","movable","TRUE","spring consumption season — secular twin"
"2026","corpus_christi","2026-06-04","movable","FALSE","Thu after Trinity; CLEAN for H3"
"2026","st_joseph_worker","2026-05-01","fixed","TRUE","1 May = International Workers' Day — COLLINEAR, exclude from clean H3"
"2026","world_day_of_poor","2026-11-15","movable","FALSE","key poverty observance; near but not on a fixed secular econ date"
"2026","advent_1","2026-11-29","movable","TRUE","year-end consumption/budget season — COLLINEAR"
"2026","christmas","2026-12-25","fixed","TRUE","consumption peak — secular twin"
