"era","outlet_band","population","target","reused","new"
"benedict","rest",5,1,0,1
"benedict","top1",1,1,0,1
"benedict","top4_10",1,1,0,1
"classical","rest",36,4,0,4
"classical","top1",15,2,0,2
"classical","top2_3",5,1,0,1
"classical","top4_10",7,1,0,1
"conciliar","rest",25,3,0,3
"conciliar","top1",24,3,0,3
"conciliar","top2_3",5,1,0,1
"conciliar","top4_10",3,1,0,1
"francis","rest",274,37,0,37
"francis","top1",183,25,0,25
"francis","top2_3",77,10,0,10
"francis","top4_10",66,9,0,9
"marker_only","rest",128,17,0,17
"marker_only","top1",141,19,0,19
"marker_only","top2_3",22,3,0,3
"marker_only","top4_10",54,7,0,7
"mixed","rest",8,1,0,1
"mixed","top1",8,1,0,1
"mixed","top2_3",1,1,0,1
"mixed","top4_10",4,1,0,1
