"code","domain","k","n","precision","lo","hi"
"ax1_link_genuine","business_comp",21,60,35,24.1676017238155,47.6376161905225
"ax1_link_genuine","demography_econ",32,60,53.3333333333333,40.8932086711351,65.372298459012
"ax1_link_genuine","euro_changeover",44,60,73.3333333333333,60.9910463981086,82.8675035129211
"ax1_link_genuine","green_energy",53,60,88.3333333333333,77.8209794001419,94.2323525965499
"ax1_link_genuine","housing",45,60,75,62.7676890545152,84.2236144215882
"ax1_link_genuine","inflation_prices",45,60,75,62.7676890545152,84.2236144215882
"ax1_link_genuine","macro_aggregates",40,60,66.6666666666667,54.0566298666634,77.2709057840722
"ax1_link_genuine","poverty_social",43,60,71.6666666666667,59.2324749502648,81.4933213956914
"ax1_link_genuine","taxes_fiscal",19,60,31.6666666666667,21.3057058411743,44.2340049430165
"ax1_link_genuine","unemployment",39,60,65,52.3623838094775,75.8323982761845
"ax1_link_genuine","wages_income",15,60,25,15.7763855784118,37.2323109454848
"ax1_strict","business_comp",18,60,30,19.8980102527269,42.5089469663904
"ax1_strict","demography_econ",32,60,53.3333333333333,40.8932086711351,65.372298459012
"ax1_strict","euro_changeover",39,60,65,52.3623838094775,75.8323982761845
"ax1_strict","green_energy",53,60,88.3333333333333,77.8209794001419,94.2323525965499
"ax1_strict","housing",45,60,75,62.7676890545152,84.2236144215882
"ax1_strict","inflation_prices",43,60,71.6666666666667,59.2324749502648,81.4933213956914
"ax1_strict","macro_aggregates",39,60,65,52.3623838094775,75.8323982761845
"ax1_strict","poverty_social",32,60,53.3333333333333,40.8932086711351,65.372298459012
"ax1_strict","taxes_fiscal",18,60,30,19.8980102527269,42.5089469663904
"ax1_strict","unemployment",39,60,65,52.3623838094775,75.8323982761845
"ax1_strict","wages_income",14,60,23.3333333333333,14.4394316184311,35.436511340392
