"audit","stratum","population","target","reused","new"
"R4","business_comp",13143,60,0,60
"R4","demography_econ",567,60,0,60
"R4","euro_changeover",243,60,0,60
"R4","green_energy",1559,60,0,60
"R4","housing",2627,60,0,60
"R4","inflation_prices",787,60,0,60
"R4","macro_aggregates",1938,60,0,60
"R4","poverty_social",31354,60,0,60
"R4","taxes_fiscal",14110,60,0,60
"R4","unemployment",3335,60,0,60
"R4","wages_income",9776,60,0,60
"R1","benedict|rest",5,1,0,1
"R1","benedict|top1",1,1,0,1
"R1","benedict|top4_10",1,1,0,1
"R1","classical|rest",36,4,0,4
"R1","classical|top1",15,2,0,2
"R1","classical|top2_3",5,1,0,1
"R1","classical|top4_10",7,1,0,1
"R1","conciliar|rest",25,3,0,3
"R1","conciliar|top1",24,3,0,3
"R1","conciliar|top2_3",5,1,0,1
"R1","conciliar|top4_10",3,1,0,1
"R1","francis|rest",274,37,0,37
"R1","francis|top1",183,25,0,25
"R1","francis|top2_3",77,10,0,10
"R1","francis|top4_10",66,9,0,9
"R1","marker_only|rest",128,17,0,17
"R1","marker_only|top1",141,19,0,19
"R1","marker_only|top2_3",22,3,0,3
"R1","marker_only|top4_10",54,7,0,7
"R1","mixed|rest",8,1,0,1
"R1","mixed|top1",8,1,0,1
"R1","mixed|top2_3",1,1,0,1
"R1","mixed|top4_10",4,1,0,1
