"section","context","audit","metric","domain","n","k","rate_pct","linked_pairs","marked_pairs","denominator_sensitivity_pct","rank"
"context_overall","A","R4","ax1_link_genuine","all",320,177,55.312,NA,NA,NA,NA
"context_overall","A","R4","ax1_strict","all",320,164,51.25,NA,NA,NA,NA
"context_overall","A","R1","r1_invocation","all",80,65,81.25,NA,NA,NA,NA
"context_overall","A","R1","r2_econ_true","all",80,68,85,NA,NA,NA,NA
"context_overall","B","R4","ax1_link_genuine","all",340,219,64.412,NA,NA,NA,NA
"context_overall","B","R4","ax1_strict","all",340,208,61.176,NA,NA,NA,NA
"context_overall","B","R1","r1_invocation","all",70,55,78.571,NA,NA,NA,NA
"context_overall","B","R1","r2_econ_true","all",70,48,68.571,NA,NA,NA,NA
"r4_domain","A","R4","ax1_link_genuine","macro_aggregates",32,20,62.5,1938,94,7.761,2
"r4_domain","A","R4","ax1_link_genuine","euro_changeover",31,24,77.419,243,0,0,11
"r4_domain","A","R4","ax1_link_genuine","taxes_fiscal",33,7,21.212,14110,208,6.949,3
"r4_domain","A","R4","ax1_link_genuine","business_comp",22,6,27.273,13143,121,3.376,5
"r4_domain","A","R4","ax1_link_genuine","green_energy",26,23,88.462,1559,202,14.647,1
"r4_domain","A","R4","ax1_link_genuine","housing",27,18,66.667,2627,1,0.057,10
"r4_domain","A","R4","ax1_link_genuine","demography_econ",27,11,40.741,567,3,1.299,8
"r4_domain","A","R4","ax1_link_genuine","inflation_prices",32,25,78.125,787,1,0.163,9
"r4_domain","A","R4","ax1_link_genuine","unemployment",32,20,62.5,3335,30,1.439,7
"r4_domain","A","R4","ax1_link_genuine","wages_income",26,2,7.692,9776,44,5.851,4
"r4_domain","A","R4","ax1_link_genuine","poverty_social",32,21,65.625,31354,586,2.848,6
"r4_domain","B","R4","ax1_link_genuine","macro_aggregates",28,20,71.429,1938,94,6.791,2
"r4_domain","B","R4","ax1_link_genuine","euro_changeover",29,20,68.966,243,0,0,11
"r4_domain","B","R4","ax1_link_genuine","taxes_fiscal",27,12,44.444,14110,208,3.317,3
"r4_domain","B","R4","ax1_link_genuine","business_comp",38,15,39.474,13143,121,2.332,5
"r4_domain","B","R4","ax1_link_genuine","green_energy",34,30,88.235,1559,202,14.685,1
"r4_domain","B","R4","ax1_link_genuine","housing",33,27,81.818,2627,1,0.047,10
"r4_domain","B","R4","ax1_link_genuine","demography_econ",33,21,63.636,567,3,0.831,8
"r4_domain","B","R4","ax1_link_genuine","inflation_prices",28,20,71.429,787,1,0.178,9
"r4_domain","B","R4","ax1_link_genuine","unemployment",28,19,67.857,3335,30,1.326,6
"r4_domain","B","R4","ax1_link_genuine","wages_income",34,13,38.235,9776,44,1.177,7
"r4_domain","B","R4","ax1_link_genuine","poverty_social",28,22,78.571,31354,586,2.379,4
