"audit","axis","main_label","repeat_label","n"
"R4","ax1_link_genuine","genuine","genuine",33
"R4","ax1_link_genuine","incidental","genuine",4
"R4","ax1_link_genuine","genuine","incidental",5
"R4","ax1_link_genuine","incidental","incidental",24
"R4","ax1_strict","genuine","genuine",26
"R4","ax1_strict","incidental","genuine",0
"R4","ax1_strict","genuine","incidental",10
"R4","ax1_strict","incidental","incidental",30
"R1","r1_invocation","genuine","genuine",22
"R1","r1_invocation","mention","genuine",0
"R1","r1_invocation","false","genuine",0
"R1","r1_invocation","genuine","mention",2
"R1","r1_invocation","mention","mention",5
"R1","r1_invocation","false","mention",0
"R1","r1_invocation","genuine","false",0
"R1","r1_invocation","mention","false",0
"R1","r1_invocation","false","false",1
"R1","r2_econ_true","yes","yes",19
"R1","r2_econ_true","no","yes",0
"R1","r2_econ_true","yes","no",7
"R1","r2_econ_true","no","no",4
