"anchor","kind","source","n_seed","n_holdout","centroid_norm","seed_coherence","split_half_cos","mean_raw_cos","mean_cen","sd_cen","q99_cen","tau_50","tau_80","tau_90","prev_tau80_bg","prev_z3_bg","auc_vs_bg","kw_prevalence","max_gram","max_gram_partner","null_split_half","null_sh_q99","null_centroid","split_half_vs_null","gate_coherence","gate_gram","coherence_untested","gate_pass"
"business_comp","domain","stageA_seed_centroid",300,100,0.1194,0.0176,0.7168,0.5841,-0.0024,0.1534,0.3779,0.1349,-0.0296,-0.0913,0.55996,0.00124,0.7264,0.04423,0.6743,"macro_aggregates",6e-04,0.1743,0.0462,716.8,TRUE,TRUE,FALSE,TRUE
"demography_econ","domain","stageA_seed_centroid",300,100,0.1754,0.0444,0.8559,0.5719,-0.0021,0.1226,0.3036,0.1893,0.0741,0.0322,0.25826,0.00254,0.859,0.00181,0.5516,"macro_aggregates",6e-04,0.1743,0.0462,855.9,TRUE,TRUE,FALSE,TRUE
"euro_changeover","domain","stageA_seed_centroid",216,72,0.2682,0.1078,0.9364,0.5443,-0.0016,0.0888,0.2483,0.2738,0.1019,0.0385,0.12332,0.01086,0.9184,0.00057,0.7771,"inflation_prices",-0.0038,0.1676,0.0565,246.4,TRUE,TRUE,FALSE,TRUE
"green_energy","domain","stageA_seed_centroid",300,100,0.235,0.0775,0.9372,0.5519,-0.0029,0.1234,0.3285,0.2846,0.1368,0.0706,0.13696,0.00588,0.9118,0.00482,0.6011,"macro_aggregates",6e-04,0.1743,0.0462,937.2,TRUE,TRUE,FALSE,TRUE
"housing","domain","stageA_seed_centroid",300,100,0.2017,0.0569,0.924,0.5628,-0.0034,0.1268,0.3443,0.2077,0.0576,0.003,0.30268,0.00636,0.8535,0.0086,0.5284,"business_comp",6e-04,0.1743,0.0462,924,TRUE,TRUE,FALSE,TRUE
"inflation_prices","domain","stageA_seed_centroid",300,100,0.2036,0.0591,0.9206,0.5635,-0.0023,0.097,0.2638,0.206,0.0582,0.016,0.24692,0.00858,0.8832,0.00226,0.7771,"euro_changeover",6e-04,0.1743,0.0462,920.6,TRUE,TRUE,FALSE,TRUE
"macro_aggregates","domain","stageA_seed_centroid",300,100,0.1809,0.0449,0.8833,0.5693,-0.0034,0.1633,0.4054,0.2367,0.0371,-0.0068,0.38102,0.00072,0.8148,0.00998,0.6743,"business_comp",6e-04,0.1743,0.0462,883.3,TRUE,TRUE,FALSE,TRUE
"poverty_social","domain","stageA_seed_centroid",300,100,0.1204,0.0221,0.7925,0.5856,0.0039,0.1382,0.3349,0.1894,0.0751,0.0071,0.2926,0.00032,0.8263,0.05382,0.4722,"wages_income",6e-04,0.1743,0.0462,792.5,TRUE,TRUE,FALSE,TRUE
"taxes_fiscal","domain","stageA_seed_centroid",300,100,0.1186,0.0187,0.7298,0.5848,3e-04,0.1364,0.3054,0.1277,0.0129,-0.0609,0.46302,0,0.7435,0.03291,0.5062,"macro_aggregates",6e-04,0.1743,0.0462,729.8,TRUE,TRUE,FALSE,TRUE
"unemployment","domain","stageA_seed_centroid",300,100,0.1045,0.0145,0.7489,0.5876,4e-04,0.1061,0.2399,0.1077,0.0263,-0.0298,0.40752,0.00062,0.7681,0.00823,0.4887,"demography_econ",6e-04,0.1743,0.0462,748.9,TRUE,TRUE,FALSE,TRUE
