"domain","kw_linked","kw_rank","wta_n","z3_n","tau80_n","wta_rank","z3_rank","tau80_rank","wta_pct_of_corpus"
"poverty_social",38232,1,91019,295,208111,1,9,7,12.81
"business_comp",31416,2,59062,930,396391,2,6,1,8.31
"taxes_fiscal",23375,3,55781,9,326297,3,11,3,7.85
"wages_income",13724,4,28295,686,366724,5,7,2,3.98
"macro_aggregates",7090,5,49292,670,271106,4,8,5,6.94
"housing",6106,6,27371,5011,216275,6,3,6,3.85
"unemployment",5849,7,24865,270,292705,7,10,4,3.5
"green_energy",3425,8,20956,4416,95690,8,4,10,2.95
"inflation_prices",1607,9,11692,6486,177786,10,2,9,1.65
"demography_econ",1288,10,16123,1724,186048,9,5,8,2.27
"euro_changeover",407,11,9873,8664,89868,11,1,11,1.39
