"stream","domain","register","share","n","provisional","n_suppressed"
"original_dta","business_comp","object_institution",0.1114,12144,TRUE,0
"original_dta","business_comp","object_cost_relig_life",0.1243,12144,TRUE,0
"original_dta","business_comp","charity",0.202,12144,TRUE,0
"original_dta","business_comp","justice",0.0768,12144,TRUE,0
"original_dta","business_comp","devotional",0.0633,12144,TRUE,0
"original_dta","business_comp","ambiguous",0.4222,12144,TRUE,0
"original_dta","demography_econ","object_institution",0.1198,434,TRUE,0
"original_dta","demography_econ","object_cost_relig_life",0.0645,434,TRUE,0
"original_dta","demography_econ","charity",0.2972,434,TRUE,0
"original_dta","demography_econ","justice",0.1152,434,TRUE,0
"original_dta","demography_econ","devotional",0.03,434,TRUE,0
"original_dta","demography_econ","ambiguous",0.3733,434,TRUE,0
"original_dta","euro_changeover","object_institution",0.2118,288,TRUE,0
"original_dta","euro_changeover","object_cost_relig_life",0.3646,288,TRUE,0
"original_dta","euro_changeover","charity",0.0139,288,TRUE,0
"original_dta","euro_changeover","justice",0.0694,288,TRUE,0
"original_dta","euro_changeover","devotional",0.0174,288,TRUE,0
"original_dta","euro_changeover","ambiguous",0.3229,288,TRUE,0
"original_dta","green_energy","object_institution",0.1154,1213,TRUE,0
"original_dta","green_energy","object_cost_relig_life",0.1014,1213,TRUE,0
"original_dta","green_energy","charity",0.136,1213,TRUE,0
"original_dta","green_energy","justice",0.1649,1213,TRUE,0
"original_dta","green_energy","devotional",0.0256,1213,TRUE,0
"original_dta","green_energy","ambiguous",0.4567,1213,TRUE,0
"original_dta","housing","object_institution",0.2204,3149,TRUE,0
"original_dta","housing","object_cost_relig_life",0.1023,3149,TRUE,0
"original_dta","housing","charity",0.3071,3149,TRUE,0
"original_dta","housing","justice",0.04,3149,TRUE,0
"original_dta","housing","devotional",0.02,3149,TRUE,0
"original_dta","housing","ambiguous",0.3103,3149,TRUE,0
"original_dta","inflation_prices","object_institution",0.073,767,TRUE,0
"original_dta","inflation_prices","object_cost_relig_life",0.4772,767,TRUE,0
"original_dta","inflation_prices","charity",0.1056,767,TRUE,0
"original_dta","inflation_prices","justice",0.0665,767,TRUE,0
"original_dta","inflation_prices","devotional",0.0196,767,TRUE,0
"original_dta","inflation_prices","ambiguous",0.2581,767,TRUE,0
"original_dta","macro_aggregates","object_institution",0.1766,1959,TRUE,0
"original_dta","macro_aggregates","object_cost_relig_life",0.1103,1959,TRUE,0
"original_dta","macro_aggregates","charity",0.098,1959,TRUE,0
"original_dta","macro_aggregates","justice",0.1378,1959,TRUE,0
"original_dta","macro_aggregates","devotional",0.0505,1959,TRUE,0
"original_dta","macro_aggregates","ambiguous",0.4267,1959,TRUE,0
"original_dta","poverty_social","object_institution",0.0849,18431,TRUE,0
"original_dta","poverty_social","object_cost_relig_life",0.0565,18431,TRUE,0
"original_dta","poverty_social","charity",0.1612,18431,TRUE,0
"original_dta","poverty_social","justice",0.0706,18431,TRUE,0
"original_dta","poverty_social","devotional",0.2208,18431,TRUE,0
"original_dta","poverty_social","ambiguous",0.406,18431,TRUE,0
"original_dta","taxes_fiscal","object_institution",0.1743,10501,TRUE,0
"original_dta","taxes_fiscal","object_cost_relig_life",0.0649,10501,TRUE,0
"original_dta","taxes_fiscal","charity",0.1478,10501,TRUE,0
"original_dta","taxes_fiscal","justice",0.0844,10501,TRUE,0
"original_dta","taxes_fiscal","devotional",0.1008,10501,TRUE,0
"original_dta","taxes_fiscal","ambiguous",0.4279,10501,TRUE,0
"original_dta","unemployment","object_institution",0.1148,2762,TRUE,0
"original_dta","unemployment","object_cost_relig_life",0.0869,2762,TRUE,0
"original_dta","unemployment","charity",0.1557,2762,TRUE,0
"original_dta","unemployment","justice",0.1293,2762,TRUE,0
"original_dta","unemployment","devotional",0.0902,2762,TRUE,0
"original_dta","unemployment","ambiguous",0.4232,2762,TRUE,0
"original_dta","wages_income","object_institution",0.1179,7174,TRUE,0
"original_dta","wages_income","object_cost_relig_life",0.1305,7174,TRUE,0
"original_dta","wages_income","charity",0.0948,7174,TRUE,0
"original_dta","wages_income","justice",0.0696,7174,TRUE,0
"original_dta","wages_income","devotional",0.1398,7174,TRUE,0
"original_dta","wages_income","ambiguous",0.4474,7174,TRUE,0
"filtered_religious","business_comp","object_institution",0.0928,19272,TRUE,0
"filtered_religious","business_comp","object_cost_relig_life",0.1166,19272,TRUE,0
"filtered_religious","business_comp","charity",0.1213,19272,TRUE,0
"filtered_religious","business_comp","justice",0.1771,19272,TRUE,0
"filtered_religious","business_comp","devotional",0.0254,19272,TRUE,0
"filtered_religious","business_comp","ambiguous",0.4667,19272,TRUE,0
"filtered_religious","demography_econ","object_institution",0.0738,854,TRUE,0
"filtered_religious","demography_econ","object_cost_relig_life",0.0644,854,TRUE,0
"filtered_religious","demography_econ","charity",0.2014,854,TRUE,0
"filtered_religious","demography_econ","justice",0.2681,854,TRUE,0
"filtered_religious","demography_econ","devotional",0.0269,854,TRUE,0
"filtered_religious","demography_econ","ambiguous",0.3653,854,TRUE,0
"filtered_religious","euro_changeover","object_institution",0.2101,119,TRUE,0
"filtered_religious","euro_changeover","object_cost_relig_life",0.1933,119,TRUE,0
"filtered_religious","euro_changeover","charity",0.1008,119,TRUE,0
"filtered_religious","euro_changeover","justice",0.1765,119,TRUE,0
"filtered_religious","euro_changeover","devotional",0.0084,119,TRUE,0
"filtered_religious","euro_changeover","ambiguous",0.3109,119,TRUE,0
"filtered_religious","green_energy","object_institution",0.0696,2212,TRUE,0
"filtered_religious","green_energy","object_cost_relig_life",0.0796,2212,TRUE,0
"filtered_religious","green_energy","charity",0.0778,2212,TRUE,0
"filtered_religious","green_energy","justice",0.2382,2212,TRUE,0
"filtered_religious","green_energy","devotional",0.0099,2212,TRUE,0
"filtered_religious","green_energy","ambiguous",0.5249,2212,TRUE,0
"filtered_religious","housing","object_institution",0.1481,2957,TRUE,0
"filtered_religious","housing","object_cost_relig_life",0.1498,2957,TRUE,0
"filtered_religious","housing","charity",0.1549,2957,TRUE,0
"filtered_religious","housing","justice",0.1326,2957,TRUE,0
"filtered_religious","housing","devotional",0.0095,2957,TRUE,0
"filtered_religious","housing","ambiguous",0.4051,2957,TRUE,0
"filtered_religious","inflation_prices","object_institution",0.0226,840,TRUE,0
"filtered_religious","inflation_prices","object_cost_relig_life",0.4024,840,TRUE,0
"filtered_religious","inflation_prices","charity",0.0786,840,TRUE,0
"filtered_religious","inflation_prices","justice",0.1524,840,TRUE,0
"filtered_religious","inflation_prices","devotional",0.0083,840,TRUE,0
"filtered_religious","inflation_prices","ambiguous",0.3357,840,TRUE,0
"filtered_religious","macro_aggregates","object_institution",0.1117,5131,TRUE,0
"filtered_religious","macro_aggregates","object_cost_relig_life",0.1008,5131,TRUE,0
"filtered_religious","macro_aggregates","charity",0.0577,5131,TRUE,0
"filtered_religious","macro_aggregates","justice",0.2397,5131,TRUE,0
"filtered_religious","macro_aggregates","devotional",0.0105,5131,TRUE,0
"filtered_religious","macro_aggregates","ambiguous",0.4796,5131,TRUE,0
"filtered_religious","poverty_social","object_institution",0.053,19801,TRUE,0
"filtered_religious","poverty_social","object_cost_relig_life",0.0637,19801,TRUE,0
"filtered_religious","poverty_social","charity",0.1129,19801,TRUE,0
"filtered_religious","poverty_social","justice",0.074,19801,TRUE,0
"filtered_religious","poverty_social","devotional",0.3025,19801,TRUE,0
"filtered_religious","poverty_social","ambiguous",0.3939,19801,TRUE,0
"filtered_religious","taxes_fiscal","object_institution",0.1216,12874,TRUE,0
"filtered_religious","taxes_fiscal","object_cost_relig_life",0.0768,12874,TRUE,0
"filtered_religious","taxes_fiscal","charity",0.1341,12874,TRUE,0
"filtered_religious","taxes_fiscal","justice",0.1698,12874,TRUE,0
"filtered_religious","taxes_fiscal","devotional",0.0545,12874,TRUE,0
"filtered_religious","taxes_fiscal","ambiguous",0.4431,12874,TRUE,0
"filtered_religious","unemployment","object_institution",0.0612,3087,TRUE,0
"filtered_religious","unemployment","object_cost_relig_life",0.0745,3087,TRUE,0
"filtered_religious","unemployment","charity",0.0917,3087,TRUE,0
"filtered_religious","unemployment","justice",0.2439,3087,TRUE,0
"filtered_religious","unemployment","devotional",0.0797,3087,TRUE,0
"filtered_religious","unemployment","ambiguous",0.449,3087,TRUE,0
"filtered_religious","wages_income","object_institution",0.0783,6550,TRUE,0
"filtered_religious","wages_income","object_cost_relig_life",0.1336,6550,TRUE,0
"filtered_religious","wages_income","charity",0.1376,6550,TRUE,0
"filtered_religious","wages_income","justice",0.1174,6550,TRUE,0
"filtered_religious","wages_income","devotional",0.1144,6550,TRUE,0
"filtered_religious","wages_income","ambiguous",0.4188,6550,TRUE,0
