"domain","register","share","ci_lo","ci_hi","n","provisional","n_suppressed"
"business_comp","object_institution",0.1,0.0967,0.1033,31416,TRUE,0
"business_comp","object_cost_relig_life",0.1196,0.1161,0.1231,31416,TRUE,0
"business_comp","charity",0.1525,0.1486,0.1563,31416,TRUE,0
"business_comp","justice",0.1383,0.1345,0.1421,31416,TRUE,0
"business_comp","devotional",0.04,0.038,0.0422,31416,TRUE,0
"business_comp","ambiguous",0.4495,0.444,0.4553,31416,TRUE,0
"demography_econ","object_institution",0.0893,0.0736,0.1049,1288,TRUE,0
"demography_econ","object_cost_relig_life",0.0644,0.0513,0.0785,1288,TRUE,0
"demography_econ","charity",0.2337,0.2107,0.2578,1288,TRUE,0
"demography_econ","justice",0.2166,0.1949,0.2402,1288,TRUE,0
"demography_econ","devotional",0.028,0.0192,0.0372,1288,TRUE,0
"demography_econ","ambiguous",0.368,0.341,0.3954,1288,TRUE,0
"euro_changeover","object_institution",0.2113,0.1728,0.2544,407,TRUE,0
"euro_changeover","object_cost_relig_life",0.3145,0.2714,0.3592,407,TRUE,0
"euro_changeover","charity",0.0393,0.0217,0.0582,407,TRUE,0
"euro_changeover","justice",0.1007,0.072,0.1314,407,TRUE,0
"euro_changeover","devotional",0.0147,0.0047,0.0278,407,TRUE,0
"euro_changeover","ambiguous",0.3194,0.274,0.3666,407,TRUE,0
"green_energy","object_institution",0.0858,0.0772,0.0954,3425,TRUE,0
"green_energy","object_cost_relig_life",0.0873,0.0781,0.0967,3425,TRUE,0
"green_energy","charity",0.0984,0.0881,0.1086,3425,TRUE,0
"green_energy","justice",0.2123,0.198,0.2256,3425,TRUE,0
"green_energy","devotional",0.0155,0.0113,0.0199,3425,TRUE,0
"green_energy","ambiguous",0.5007,0.484,0.5173,3425,TRUE,0
"housing","object_institution",0.1854,0.1761,0.1953,6106,TRUE,0
"housing","object_cost_relig_life",0.1253,0.1172,0.1334,6106,TRUE,0
"housing","charity",0.2334,0.2224,0.2441,6106,TRUE,0
"housing","justice",0.0848,0.078,0.0919,6106,TRUE,0
"housing","devotional",0.0149,0.012,0.018,6106,TRUE,0
"housing","ambiguous",0.3562,0.3435,0.3686,6106,TRUE,0
"inflation_prices","object_institution",0.0467,0.037,0.0574,1607,TRUE,0
"inflation_prices","object_cost_relig_life",0.4381,0.4136,0.4619,1607,TRUE,0
"inflation_prices","charity",0.0915,0.0769,0.1059,1607,TRUE,0
"inflation_prices","justice",0.1114,0.0958,0.1273,1607,TRUE,0
"inflation_prices","devotional",0.0137,0.0086,0.0197,1607,TRUE,0
"inflation_prices","ambiguous",0.2987,0.277,0.3209,1607,TRUE,0
"macro_aggregates","object_institution",0.1296,0.1217,0.1377,7090,TRUE,0
"macro_aggregates","object_cost_relig_life",0.1034,0.0961,0.1104,7090,TRUE,0
"macro_aggregates","charity",0.0688,0.063,0.0748,7090,TRUE,0
"macro_aggregates","justice",0.2116,0.2022,0.2211,7090,TRUE,0
"macro_aggregates","devotional",0.0216,0.0183,0.0253,7090,TRUE,0
"macro_aggregates","ambiguous",0.465,0.4533,0.4773,7090,TRUE,0
"poverty_social","object_institution",0.0684,0.0658,0.0709,38232,TRUE,0
"poverty_social","object_cost_relig_life",0.0602,0.0579,0.0625,38232,TRUE,0
"poverty_social","charity",0.1362,0.1326,0.1398,38232,TRUE,0
"poverty_social","justice",0.0724,0.0698,0.0749,38232,TRUE,0
"poverty_social","devotional",0.2631,0.2589,0.2672,38232,TRUE,0
"poverty_social","ambiguous",0.3997,0.395,0.405,38232,TRUE,0
"taxes_fiscal","object_institution",0.1453,0.1408,0.15,23375,TRUE,0
"taxes_fiscal","object_cost_relig_life",0.0714,0.0682,0.0748,23375,TRUE,0
"taxes_fiscal","charity",0.1402,0.1359,0.1446,23375,TRUE,0
"taxes_fiscal","justice",0.1314,0.1271,0.1355,23375,TRUE,0
"taxes_fiscal","devotional",0.0753,0.0719,0.0787,23375,TRUE,0
"taxes_fiscal","ambiguous",0.4363,0.4298,0.4427,23375,TRUE,0
"unemployment","object_institution",0.0865,0.0796,0.0938,5849,TRUE,0
"unemployment","object_cost_relig_life",0.0804,0.0736,0.0876,5849,TRUE,0
"unemployment","charity",0.1219,0.114,0.13,5849,TRUE,0
"unemployment","justice",0.1898,0.1796,0.1996,5849,TRUE,0
"unemployment","devotional",0.0846,0.0777,0.0919,5849,TRUE,0
"unemployment","ambiguous",0.4368,0.4244,0.4495,5849,TRUE,0
"wages_income","object_institution",0.099,0.0939,0.1041,13724,TRUE,0
"wages_income","object_cost_relig_life",0.132,0.1263,0.1376,13724,TRUE,0
"wages_income","charity",0.1152,0.11,0.1205,13724,TRUE,0
"wages_income","justice",0.0924,0.0878,0.0971,13724,TRUE,0
"wages_income","devotional",0.1277,0.1222,0.133,13724,TRUE,0
"wages_income","ambiguous",0.4338,0.4257,0.4419,13724,TRUE,0
