"domain","tier","n_matched","n_linked","linkage","linkage_lo","linkage_hi","linkage_ex_caritas","linkage_2021_24","linkage_2024_26","foreign_hint_rate","confessional_share","infl_metaphor_flagged"
"macro_aggregates","A",31641,7090,0.224,0.22,0.229,0.223,0.256,0.214,0.257,0.106,0
"euro_changeover","A",2072,407,0.196,0.18,0.214,0.194,0.294,0.109,0.409,0.11,0
"taxes_fiscal","A",62198,23375,0.376,0.372,0.38,0.371,0.51,0.309,0.154,0.367,0
"business_comp","A",87389,31416,0.359,0.356,0.363,0.356,0.451,0.319,0.188,0.193,0
"green_energy","B",11854,3425,0.289,0.281,0.297,0.289,0.388,0.254,0.246,0.162,0
"housing","B",18727,6106,0.326,0.319,0.333,0.317,0.467,0.247,0.146,0.169,0
"demography_econ","B",6029,1288,0.214,0.203,0.224,0.209,0.277,0.191,0.195,0.179,0
"inflation_prices","C",8479,1607,0.19,0.181,0.198,0.187,0.281,0.146,0.281,0.081,7
"unemployment","C",22150,5849,0.264,0.258,0.27,0.259,0.349,0.217,0.142,0.292,0
"wages_income","C",36146,13724,0.38,0.375,0.385,0.376,0.508,0.297,0.132,0.327,0
"poverty_social","C",71007,38232,0.538,0.535,0.542,0.533,0.605,0.489,0.109,0.564,0
