"name","value"
"adjacency_cost",1579
"linked_posts",66374
"linked_pairs",79439
"core_posts",1093
"core_pairs",1290
"raw_rate_pairs",1.6239
"raw_rate_posts",1.6467
"tier2_ceiling",12.6405
"inclusive_core_posts",1131
"inclusive_core_pairs",1351
"inclusive_frame_posts",66394
"inclusive_frame_pairs",79500
"w_gen",52.6952
"w_str",44.0316
"chisq",108.3333
"prec_min",25
"prec_max",88.3333
"stability_agreement_min",76.7
"stability_agreement_max",93.3
"stability_kappa_min",0.42
"stability_kappa_max",0.821
"corrected_headline",3.0817
"corrected_headline_strict",3.688
"r1_genuine",79.6
"r1_joint",62.8
"post_raw",1.6467
"post_invocation_sensitivity",1.3108
"post_joint_sensitivity",1.0341
"climate_raw",12.957
"climate_adj",14.6683
"adj_ratio",2.0161
"raw_ratio",2.67
"rank_cor",0.9455
"green_first_prob",100
"strict_green_first_prob",100
"strict_macro",7.4621
"strict_taxes",4.9138
"mc_draws",20000
"r4_reused",0
"r1_reused",0
"poverty_linked",31354
"poverty_share_pairs",45.4264
"poverty_prec",71.6667
"euro_hi",1.556
"no_laudato_climate_raw",3.0148
"no_laudato_top_raw",3.6636
"no_ecology_climate_raw",1.7319
"no_ecology_top_raw",3.5604
"no_laudato_climate_denom",3.413
"no_laudato_top_denom",5.4954
"no_ecology_climate_denom",1.9606
"no_ecology_top_denom",5.3406
"classical_green",0.495
"classical_housing",0
"classical_business",6.6116
"classical_wages",27.2727
"francis_green",92.5743
"conf_share_linked",34.833
"conf_share_doctrinal",59.9225
"conf_share_linked_labelled",58.3161
"conf_share_doctrinal_labelled",71.1132
"conf_climate",19.47
"conf_next",11.76
"conf_ratio",1.66
"secmin_climate",11.58
"secmin_next",2.83
"secmin_ratio",4.09
"secmax_climate",10.86
"secmax_next",1.91
"secmax_ratio",5.68
"variants_first",25
"variants_n",25
"variants_disjoint",25
"poverty_charity",26
"poverty_justice",19.5
"poverty_remainder",48.1
"poverty_reg_n",77
"green_justice",100
"gold_links_n",148
"gold_display_n",126
"gold_database_n",296
"gold_linked_n",268
"opcija_core",26
"opcija_pct",1.95
"opcija_corpus",30
"opcija_linked",26
"socnauk_core",366
"term_occurrences",1336
"titles_above_opcija",5
"corpus_n",413985
"platforms_n",9
"web_posts",286662
"corpus_terms",119
"corpus_window",3000
"corpus_threshold",0.7
