analysis_era,specification,predictor,estimate,standard_error,conf_low,conf_high,p_value,degrees_freedom,n_obs,n_products,n_organizations,n_product_topics,n_periods,uncertainty,notes
main_2024_2026,headline_raw,gap_pp,-0.0246946539728787,0.0370931564071638,-0.112406031181383,0.0630167232356251,0.526894496190182,7,304,5,3,38,8,"time-HAC (Bartlett, lag 2)",Product-by-topic and topic-by-current-month fixed effects; controls current production share
main_2024_2026,classification_full_text,gap_pp,0.0114909951635559,0.0253114529768355,-0.0483610803885197,0.0713430707156315,0.663581335950777,7,304,5,3,38,8,"time-HAC (Bartlett, lag 2)","Classification uses title plus full page text instead of the primary 3,000-character body window"
main_2024_2026,headline_raw,gap_pp,-0.0246946539728787,0.0499179452146174,-0.0927030609999205,0.101700319316993,,,304,5,3,38,8,IID whole-month cluster bootstrap,999 successful IID whole-current-month cluster replications; percentile interval; HAC is primary
main_2024_2026,winsorized_99,gap_pp_winsorized,0.00978579646039968,0.0565523905918383,-0.123939357818609,0.143510950739408,0.867517611931924,7,304,5,3,38,8,"time-HAC (Bartlett, lag 2)",Interactions capped at each product-month's 99th percentile
main_2024_2026,top_post_removed,gap_pp_top_removed,0.0561651417003326,0.0615859584668843,-0.089462509248048,0.201792792648713,0.392103686987836,7,304,5,3,38,8,"time-HAC (Bartlett, lag 2)",Highest-interaction post removed from each product-month
main_2024_2026,change_score,gap_pp,-0.0246946539728787,0.0370931564071638,-0.112406031181383,0.0630167232356251,0.526894496190183,7,304,5,3,38,8,"time-HAC (Bartlett, lag 2)",Outcome is next minus current production share; controls current production share
main_2024_2026,mean_log1p_premium_min3,log_interaction_premium,0.477860987429681,0.292031645467091,-0.212684123674348,1.16840609853371,0.145783241686655,7,269,5,3,38,8,"time-HAC (Bartlett, lag 2)",Centered mean log(1 + interactions); topic-month requires at least three assigned posts
historical_2021_2023,historical_replication,gap_pp,0.0231219218972846,0.0246733303154503,-0.0270203181628716,0.0732641619574408,0.355305171012299,34,1214,4,2,38,35,"time-HAC (Bartlett, lag 2)",Separate-era consistency check with four products from two organizations; never pooled with the main estimate
main_2024_2026,leave_product_out:bitno_web,gap_pp,-0.00426424196260942,0.0706646046073326,-0.171359479746323,0.162830995821104,0.953567733489358,7,224,4,2,28,8,"time-HAC (Bartlett, lag 2)",Influence diagnostic
main_2024_2026,leave_product_out:hkm_web,gap_pp,-0.0371075742650724,0.0548392025866524,-0.16678168263948,0.0925665341093356,0.52034613187097,7,280,4,3,35,8,"time-HAC (Bartlett, lag 2)",Influence diagnostic
main_2024_2026,leave_product_out:hkr_web,gap_pp,0.000157585811444667,0.0242313185249267,-0.0571403776206665,0.0574555492435559,0.994992538159395,7,272,4,3,34,8,"time-HAC (Bartlett, lag 2)",Influence diagnostic
main_2024_2026,leave_product_out:ika_web,gap_pp,-0.0413001430128801,0.0274518153001169,-0.106213371221782,0.0236130851960222,0.176175611609027,7,216,4,3,27,8,"time-HAC (Bartlett, lag 2)",Influence diagnostic
main_2024_2026,leave_product_out:laudato_web,gap_pp,-0.057719024705733,0.0620438911582081,-0.204429514401615,0.088991464990149,0.383180776092473,7,224,4,2,28,8,"time-HAC (Bartlett, lag 2)",Influence diagnostic
main_2024_2026,leave_organization_out:bitno,gap_pp,-0.00426424196260942,0.0706646046073326,-0.171359479746323,0.162830995821104,0.953567733489358,7,224,4,2,28,8,"time-HAC (Bartlett, lag 2)",Influence diagnostic
main_2024_2026,leave_organization_out:hkm,gap_pp,-0.0647407919319949,0.0409588592098381,-0.161593103737152,0.0321115198731626,0.157974907639593,7,160,2,2,20,8,"time-HAC (Bartlett, lag 2)",Influence diagnostic
main_2024_2026,leave_organization_out:laudato,gap_pp,-0.057719024705733,0.0620438911582081,-0.204429514401615,0.088991464990149,0.383180776092473,7,224,4,2,28,8,"time-HAC (Bartlett, lag 2)",Influence diagnostic
